,nazwa,procenty,cena
0,Farmer Wirtz India Pale Ale,7.0,17.52
1,Mexican Logger,4.2,19.9
2,Snow King Pale Ale,6.0,15.8
3,Point Special Lager,4.7,14.99
4,Tonganoxie Honey Wheat,4.4,17.71
5,ESB Special Ale,5.7,18.15
6,Odyssey Imperial IPA,8.4,9.05
7,Lobo Lito,4.0,10.17
8,Boont Amber Ale (2011),5.8,14.51
9,Day Hike Session,4.1,15.71
10,Dale's Pale Ale (2003),6.5,12.75
11,Hazed & Infused,4.9,19.01
12,Yellow Wolf Imperial IPA,8.2,11.33
13,Pale Alement,5.5,10.87
14,Steel Wheels ESB,6.5,10.41
15,Provision,4.2,10.42
16,LIFT,4.7,17.93
17,Alaskan Amber,5.3,9.19
18,Lake House,4.6,11.46
19,Mississippi Fire Ant,8.0,11.39
20,Cedar Point,5.0,11.92
21,Deadicated Amber,5.4,18.58
22,Yoshi's Nectar,5.3,14.18
23,Psycho Penguin Vanilla Porter,5.4,15.94
24,Park,4.7,18.32
25,British Pale Ale,5.4,12.62
26,Saint Archer White Ale,5.0,12.0
27,Pale,5.4,12.8
28,Solis,7.5,9.9
29,Fat Tire Amber Ale,5.2,10.13
30,Jammer,4.2,11.12
31,Proxima IPA,6.3,17.74
32,Bent Paddle Black Ale,6.0,9.51
33,Savannah Brown Ale,6.2,9.6
34,Ghost Ship White IPA,5.6,10.85
35,Grazias,6.3,13.0
36,Wachusett IPA,5.6,14.95
37,Rude Parrot IPA,5.9,19.62
38,Sol Drifter,4.3,15.24
39,Black Noddy Lager (Current),5.2,8.31
40,Longboard Island Lager,4.6,14.21
41,Schweet Ale,5.2,17.33
42,Operation Homefront,6.2,19.88
43,Tsunami IPA,7.2,12.57
44,Florida Cracker Belgian Wit,5.0,13.74
45,IPA #11,5.7,18.51
46,London Homesick Ale,4.9,18.58
47,Driftwood Ale,6.0,17.27
48,Point the Way IPA,5.9,8.76
49,P-Town Pilsner,4.0,8.86
